sep=,
DeviceTag:,46,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.6.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.4,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2021-03-24 15:22:59.037 +0800,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2021,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
51, 694972553, 0.556105, 0.13909492, -0.8189524, -0.026773943, -0.02629317, -0.002850852, 0.10945511
52, 694989220, 0.55611223, 0.13918972, -0.81893384, -0.02669772, -0.009906542, 0.011070318, 0.09344864
53, 695005887, 0.55611956, 0.13928422, -0.81891584, -0.026604345, -0.010489016, 0.0017160766, 0.09280586
54, 695022554, 0.556129, 0.13925329, -0.81891555, -0.026579734, -0.03224532, -0.010878543, 0.100209236
55, 695039221, 0.55613804, 0.13918109, -0.81892097, -0.026602486, -0.031921674, 0.020196632, 0.1111269
56, 695055888, 0.5561409, 0.13911933, -0.8189284, -0.026637012, -0.024922589, -0.00918208, 0.1046257
57, 695072555, 0.55613655, 0.13907932, -0.8189376, -0.026653761, -0.025660379, -0.051613465, 0.102760315
58, 695089222, 0.5561338, 0.13909204, -0.8189381, -0.02663056, -0.008533725, -0.032774486, 0.11166763
59, 695105889, 0.5561415, 0.13908562, -0.8189341, -0.026622431, -0.02761279, -0.02859541, 0.104159355
60, 695122556, 0.5561378, 0.13908505, -0.8189367, -0.026620371, -0.019936908, -0.012357975, 0.11346626
61, 695139223, 0.5561288, 0.13909233, -0.81894124, -0.026633793, -0.015193069, -0.026877321, 0.105026245
62, 695155890, 0.5561217, 0.13907243, -0.8189485, -0.026665093, -0.007281158, -0.035274424, 0.099295616
63, 695172557, 0.556122, 0.13906917, -0.81894845, -0.026671914, 0.0026526519, -0.035627015, 0.12276268
64, 695189224, 0.5561375, 0.13908304, -0.8189358, -0.026668716, 0.004679467, -0.007155823, 0.111044884
65, 695205891, 0.55615366, 0.13911262, -0.8189202, -0.026655924, -4.6848317E-4, -0.0019302579, 0.10644817
66, 695222558, 0.55617875, 0.1391029, -0.8189041, -0.02667776, -0.019078173, -0.0056059286, 0.112514496
67, 695239225, 0.5562046, 0.13912994, -0.818882, -0.026676388, -0.019172048, -0.013496104, 0.10843468
68, 695255892, 0.55623114, 0.13913454, -0.81886274, -0.026689958, 0.004882417, -0.047733538, 0.11375427
69, 695272559, 0.5562591, 0.13918297, -0.8188368, -0.026651116, -0.028172914, -0.0097188465, 0.09423447
70, 695289226, 0.55628395, 0.13922961, -0.8188132, -0.02661237, -0.05679688, -0.0026622629, 0.098991394
71, 695305893, 0.556293, 0.13923585, -0.81880575, -0.026619336, -0.110835604, -0.013864006, 0.11381245
72, 695322560, 0.5562704, 0.1391968, -0.81882674, -0.026653647, -0.091237545, -0.017691217, 0.08931351
73, 695339227, 0.5562234, 0.13917673, -0.8188621, -0.0266544, -0.08314548, -0.030233648, 0.07332802
74, 695355894, 0.55615836, 0.13921465, -0.81890064, -0.026627729, -0.08815485, -0.038395558, 0.09056473
75, 695372561, 0.5560727, 0.1392419, -0.8189547, -0.026611475, -0.081951916, -0.048849896, 0.106604576
76, 695389228, 0.5559678, 0.13928974, -0.8190184, -0.026593436, -0.070111096, -0.05318435, 0.10357189
77, 695405895, 0.55587655, 0.13937327, -0.8190669, -0.026564952, -0.03907677, -0.039903097, 0.11023331
78, 695422562, 0.5557705, 0.13950004, -0.8191194, -0.026504517, 0.012226606, -0.046016622, 0.10839653
79, 695439229, 0.5556618, 0.13949126, -0.81919235, -0.026572285, 0.018314652, -0.02551747, 0.11252403
80, 695455896, 0.5555788, 0.13958089, -0.8192327, -0.026593823, 0.04561855, -0.02752087, 0.14990711
81, 695472563, 0.55551803, 0.13966319, -0.81925917, -0.026615705, 0.061382916, -0.03256042, 0.14660358
82, 695489230, 0.55548877, 0.13970603, -0.8192696, -0.02668251, 0.09452944, -0.034790967, 0.1194582
83, 695505897, 0.5554835, 0.13978934, -0.8192568, -0.026746003, 0.06679729, -0.03505281, 0.114476204
84, 695522564, 0.55549896, 0.13995324, -0.81921774, -0.026762621, 0.061166555, -0.04298389, 0.14238739
85, 695539231, 0.5555323, 0.14010556, -0.8191682, -0.026793076, 0.049175978, -0.016639031, 0.15157795
86, 695555898, 0.55558956, 0.14029065, -0.81909686, -0.026818004, 0.031073665, -0.03351571, 0.13150024
87, 695572565, 0.5556623, 0.14058365, -0.81899863, -0.026778163, 0.030126864, -0.045430966, 0.09576702
88, 695589232, 0.55573976, 0.14089072, -0.8188955, -0.02671062, -0.003518988, 0.002472612, 0.094566345
89, 695605899, 0.55579466, 0.14108223, -0.8188253, -0.026706705, -0.09188573, 0.05944053, 0.097969055
90, 695622566, 0.555832, 0.14119643, -0.8187792, -0.026741594, -0.098739974, 0.036626734, 0.06715679
91, 695639233, 0.5558552, 0.14129558, -0.81874645, -0.026739502, -0.09287187, 0.06334916, 0.07220936
