PacketCounter_femur,SampleTimeFine_femur,Quat_W_femur,Quat_X_femur,Quat_Y_femur,Quat_Z_femur,FreeAcc_X_femur,FreeAcc_Y_femur,FreeAcc_Z_femur
21,286231277,0.7011365,-0.035882372,-0.70831674,0.07354862,-0.004130072,0.014122163,0.17318821
22,286247944,0.7011453,-0.035978902,-0.7083115,0.07346905,-0.036806773,-0.029710768,0.1650095
23,286264611,0.70108986,-0.03613388,-0.7083678,0.073377974,-0.059732944,-0.0870115,0.24931717
24,286281278,0.70102286,-0.036230527,-0.7084332,0.07333957,-0.027299425,-0.022558631,0.15433311
25,286297945,0.70101124,-0.036328487,-0.7084432,0.07330575,-0.057191603,-0.002521925,0.13083935
26,286314612,0.7009677,-0.036451776,-0.70848984,0.07321095,-0.06619694,0.019627512,0.19366646
27,286331279,0.70089656,-0.036594532,-0.708565,0.07309292,-0.037918974,-0.017953707,0.24316692
28,286347946,0.70088166,-0.036765978,-0.7085958,0.072850555,0.04676785,-0.0891684,0.19745731
29,286364613,0.70091474,-0.036943156,-0.7085689,0.07270415,0.075196914,-0.08165761,0.17173576
30,286381280,0.7008903,-0.037095867,-0.7085714,0.0728386,0.10567648,0.011227586,0.20370293
31,286397947,0.70090604,-0.03750993,-0.7085432,0.0727484,0.07140926,0.19938557,0.11958504
32,286414614,0.7007973,-0.038201537,-0.70867115,0.07218861,0.060276974,0.2782635,0.2555189
33,286431281,0.7009151,-0.03916929,-0.7086064,0.07115393,0.008042891,0.15820132,0.20688438
34,286447948,0.7010488,-0.04003175,-0.70854366,0.06997016,-0.089991234,-0.123166814,0.16209888
35,286464615,0.7012152,-0.040419217,-0.7084189,0.069341555,-0.06807758,-0.3637998,0.25042915
36,286481282,0.70126146,-0.040062733,-0.7083837,0.069441035,-0.06935428,-0.39435017,0.20961952
37,286497949,0.7011448,-0.039204217,-0.7084818,0.070106246,-7.29E-04,-0.17688648,0.1705513
38,286514616,0.7009743,-0.038045693,-0.70860475,0.071196735,-0.030241303,0.05796842,0.109111786
39,286531283,0.7008099,-0.036921643,-0.7086963,0.0724836,-0.029649887,0.18256538,0.15214252
40,286547950,0.70070076,-0.03593506,-0.7087288,0.07370775,-0.06941061,0.31411296,0.20527077
41,286564617,0.7006459,-0.03532474,-0.70872754,0.074532144,-0.07775301,0.2936692,0.20877838
42,286581284,0.7007767,-0.03516758,-0.7085799,0.07477913,-0.01860522,0.25756115,0.2291832
