sep=,
DeviceTag:,femurLeft,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.6.0,,,,,,,,,,,,,,,,,
AppVersion:,1.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Euler),,,,,,,,,,,,,,,,,
StartTime:,2021-03-10 17:34:59.858 +0800,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2021,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1, 1208023473, -112.57592010498047, -82.37860107421875, -74.09050750732422, -0.2929091, 0.31640464, 0.034710884
2, 1208040140, -112.73509979248047, -82.31668853759766, -73.92288970947266, -0.25272802, 0.19358684, 0.17250252
3, 1208056807, -112.81680297851562, -82.25800323486328, -73.83943176269531, -0.2050431, 0.034709956, 0.30366707
4, 1208073474, -112.84455871582031, -82.22724151611328, -73.80806732177734, -0.1074561, -0.151469, 0.29998302
5, 1208090141, -112.87297058105469, -82.22655487060547, -73.75994873046875, 0.0041231653, -0.2524493, 0.22895527
6, 1208106808, -112.95110321044922, -82.2445068359375, -73.63031005859375, 0.057877157, -0.20312932, 0.15208817
7, 1208123475, -113.06886291503906, -82.26908874511719, -73.4273452758789, 0.018411314, -0.037042014, 0.17241001
8, 1208140142, -113.11996459960938, -82.29658508300781, -73.28145599365234, -0.0877905, 0.17563428, 0.24558163
9, 1208156809, -113.02180480957031, -82.32324981689453, -73.31063842773438, -0.18175453, 0.325041, 0.3093605
10, 1208173476, -112.777099609375, -82.34429931640625, -73.51713562011719, -0.20823367, 0.32940602, 0.32600403
11, 1208190143, -112.46639251708984, -82.36465454101562, -73.81570434570312, -0.12756874, 0.23799509, 0.27218723
12, 1208206810, -112.21099853515625, -82.38513946533203, -74.06241607666016, 0.029097965, 0.11249245, 0.1836443
13, 1208223477, -112.03874206542969, -82.39408874511719, -74.20581817626953, 0.18833528, -0.027373845, 0.14727783
14, 1208240144, -111.87574005126953, -82.39751434326172, -74.29914093017578, 0.2697564, -0.09556933, 0.15968037
15, 1208256811, -111.70590209960938, -82.40234375, -74.34982299804688, 0.29475704, -0.17407611, 0.13154411
16, 1208273478, -111.56217956542969, -82.40266418457031, -74.34191131591797, 0.27310073, -0.28061816, 0.1997652
17, 1208290145, -111.4015884399414, -82.40702819824219, -74.35175323486328, 0.2493484, -0.34526086, 0.2326107
18, 1208306812, -111.24718475341797, -82.42451477050781, -74.40017700195312, 0.21778962, -0.44572538, 0.23951626
19, 1208323479, -111.0418472290039, -82.4593276977539, -74.5619125366211, 0.19512878, -0.5185049, 0.2682476
20, 1208340146, -110.73802185058594, -82.52153015136719, -74.87600708007812, 0.20799579, -0.52119553, 0.21543694
21, 1208356813, -110.36612701416016, -82.59710693359375, -75.30622100830078, 0.16544628, -0.40375698, 0.15923977
22, 1208373480, -109.99143981933594, -82.66666412353516, -75.7720718383789, 0.06327603, -0.27127892, 0.124619484
23, 1208390147, -109.6651840209961, -82.73178100585938, -76.19522857666016, -0.053131368, -0.11307698, 0.10321045
24, 1208406814, -109.4625473022461, -82.79094696044922, -76.48242950439453, -0.11745072, 0.024419283, 0.06734276
25, 1208423481, -109.36148834228516, -82.83004760742188, -76.65174102783203, -0.13771659, 0.15837821, 0.0479002
26, 1208440148, -109.2577133178711, -82.84368896484375, -76.80584716796875, -0.12442887, 0.29585782, 0.03719139
