sep=,
DeviceTag:,tibiaLeft,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.6.0,,,,,,,,,,,,,,,,,
AppVersion:,1.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Euler),,,,,,,,,,,,,,,,,
StartTime:,2021-03-17 16:46:03.544 +0800,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2021,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1769, 221427429, -162.61114501953125, -70.95928955078125, 23.882854461669922, -0.66510034, -0.1507586, -0.2669735
1770, 221444096, -162.2071533203125, -70.98616790771484, 23.484134674072266, -0.6842076, 0.06729014, 0.23852348
1771, 221460763, -161.72789001464844, -71.03350067138672, 23.06475067138672, -0.5639423, 0.31178972, 0.29847622
1772, 221477430, -161.2346649169922, -71.10417175292969, 22.70709991455078, -0.46357957, -0.026788475, 0.06555462
1773, 221494097, -160.7013702392578, -71.18528747558594, 22.34900665283203, -0.088252805, -0.11672081, -0.04382801
1774, 221510764, -160.18572998046875, -71.24690246582031, 21.996788024902344, 0.41539916, -0.08379076, 0.11141682
1775, 221527431, -159.66429138183594, -71.3050765991211, 21.61691665649414, 0.49572012, 0.07235751, 0.087498665
1776, 221544098, -159.0321502685547, -71.4076156616211, 21.134456634521484, -0.07469048, -0.4025513, 0.092674255
1777, 221560765, -158.3540496826172, -71.53569030761719, 20.600435256958008, -0.45543697, -0.3288869, -0.09434605
1778, 221577432, -157.70053100585938, -71.63932800292969, 20.130220413208008, -0.27070913, -0.23613998, -0.15084743
1779, 221594099, -157.03762817382812, -71.70329284667969, 19.663469314575195, 0.3093979, 0.18423782, -0.028609276
1780, 221610766, -156.3956298828125, -71.7508773803711, 19.133108139038086, 0.4026795, -0.010471359, 0.15045166
1781, 221627433, -155.8485870361328, -71.81551361083984, 18.591466903686523, -0.2267758, -0.0022145663, -0.11429024
1782, 221644100, -155.28135681152344, -71.92005157470703, 18.11712074279785, -0.80906713, 0.03737293, -0.23365021
1783, 221660767, -154.5998077392578, -72.05426788330078, 17.716629028320312, -0.74056363, -0.012471129, -0.105350494
1784, 221677434, -153.8283233642578, -72.18405151367188, 17.286911010742188, 0.022518652, -0.0913075, 0.18503952
1785, 221694101, -153.13198852539062, -72.29403686523438, 16.80147361755371, 0.58553106, -0.01039894, 0.25623512
1786, 221710768, -152.54469299316406, -72.39283752441406, 16.251399993896484, 0.5317995, 0.27779487, -0.042313576
1787, 221727435, -152.0715789794922, -72.49016571044922, 15.695136070251465, 0.087240964, 0.039268322, -0.10865021
1788, 221744102, -151.48158264160156, -72.62387084960938, 15.064308166503906, -0.53908813, -0.28809792, 0.041000366
1789, 221760769, -150.8165283203125, -72.7747573852539, 14.387800216674805, -0.45683578, -0.74903685, -0.013411522
1790, 221777436, -150.24166870117188, -72.92394256591797, 13.749527931213379, -0.39447892, -0.42585754, -0.20255375
1791, 221794103, -149.75462341308594, -73.06922912597656, 13.14272403717041, -0.17550668, 0.18719456, -0.02762127
1792, 221810770, -149.26206970214844, -73.21504211425781, 12.513690948486328, -0.08709127, 0.37768525, 0.19040298
1793, 221827437, -148.77041625976562, -73.35873413085938, 11.899876594543457, -0.025862964, 0.23307239, -0.06691074
1794, 221844104, -148.27210998535156, -73.49163818359375, 11.29240608215332, 0.11079688, 0.03294849, -0.27309036
1795, 221860771, -147.8355255126953, -73.6172103881836, 10.71842098236084, 0.10207177, -0.03292793, -0.0881176
1796, 221877438, -147.4560089111328, -73.73150634765625, 10.181078910827637, 0.3572319, 0.26753673, -0.31923294
1797, 221894105, -147.01698303222656, -73.8339614868164, 9.552053451538086, 0.2905478, 0.44874036, -0.01986599
1798, 221910772, -146.62582397460938, -73.93179321289062, 8.924641609191895, 0.31467393, 0.19340979, 0.12142944
1799, 221927439, -146.3236083984375, -74.03015899658203, 8.274466514587402, -0.14460495, -0.18427056, -0.051693916
1800, 221944106, -146.05020141601562, -74.15071868896484, 7.571800231933594, -1.233357, -0.95997304, 0.045653343
1801, 221960773, -145.75733947753906, -74.307373046875, 6.865490436553955, -1.5517266, -0.76643276, -0.0547266
1802, 221977440, -145.3153839111328, -74.49054718017578, 6.173312664031982, -0.9229501, 0.36328813, -0.007408142
