sep=,
DeviceTag:,femurLeft,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.6.0,,,,,,,,,,,,,,,,,
AppVersion:,1.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Euler),,,,,,,,,,,,,,,,,
StartTime:,2021-03-10 17:02:37.919 +0800,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2021,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1, 2343592535, -143.06069946289062, -79.65719604492188, -60.207340240478516, 0.022927288, -0.008366481, 0.17833233
2, 2343609202, -143.04823303222656, -79.65664672851562, -60.215309143066406, 0.08025731, -0.02144372, 0.19215679
3, 2343625869, -143.05628967285156, -79.65470886230469, -60.20476531982422, 0.068723164, -0.051891606, 0.16813087
4, 2343642536, -143.08518981933594, -79.64942169189453, -60.182594299316406, 0.014695628, -0.0681838, 0.12450886
5, 2343659203, -143.11517333984375, -79.64049530029297, -60.16570281982422, -0.009531836, -0.039453503, 0.13758373
6, 2343675870, -143.1432342529297, -79.63174438476562, -60.1519660949707, -0.004831987, -4.4775233E-4, 0.18147278
7, 2343692537, -143.17495727539062, -79.62265014648438, -60.136566162109375, 0.0069253533, 0.017419035, 0.18726254
8, 2343709204, -143.20896911621094, -79.6134262084961, -60.11467361450195, -5.9235125E-4, 9.590941E-4, 0.18988991
9, 2343725871, -143.2557830810547, -79.60572052001953, -60.0849494934082, -0.006275755, 0.011052827, 0.21499252
10, 2343742538, -143.30894470214844, -79.60169219970703, -60.05467224121094, -0.022917034, 0.00545936, 0.17711353
11, 2343759205, -143.36631774902344, -79.5960693359375, -60.01979446411133, -0.034015402, 0.034901604, 0.16252518
12, 2343775872, -143.41322326660156, -79.59266662597656, -59.989280700683594, -0.04723949, 0.07890667, 0.16544247
13, 2343792539, -143.4449920654297, -79.59194946289062, -59.964210510253906, -0.072531685, 0.05173392, 0.19563293
14, 2343809206, -143.464599609375, -79.59439086914062, -59.943946838378906, -0.06361232, -1.2432908E-4, 0.18643475
