PacketCounter_femur,SampleTimeFine_femur,Euler_X_femur,Euler_Y_femur,Euler_Z_femur,FreeAcc_X_femur,FreeAcc_Y_femur,FreeAcc_Z_femur,PacketCounter_tibia,SampleTimeFine_tibia,Euler_X_tibia,Euler_Y_tibia,Euler_Z_tibia,FreeAcc_X_tibia,FreeAcc_Y_tibia,FreeAcc_Z_tibia
26.0,1208440148.0,-109.25771329999999,-82.84368896,-76.80584717,-0.12442887,0.29585782,0.03719139,27,1208440148,-164.3854065,-79.58683014,-0.400458425,-0.09110544,-0.054580078,0.05117035
27.0,1208456815.0,-109.17945859999999,-82.82987976,-76.9262085,-0.12746239,0.33195227,0.050865173,28,1208456815,-164.4497833,-79.56957245,-0.372514367,-0.11639652,-0.10421571,0.059502599999999996
28.0,1208473482.0,-109.21252439999999,-82.80810547,-76.93145752,-0.11440112,0.28612274,0.08808899,29,1208473482,-164.4730225,-79.56031036,-0.381493181,-0.15345193,-0.06549578,0.006599425999999999
29.0,1208490149.0,-109.38836670000002,-82.79072571,-76.78918457,-0.089708336,0.16316915,0.035629272000000003,30,1208490149,-164.45715330000002,-79.55857849,-0.408444524,-0.1668782,-0.003569502,-0.026565552000000003
30.0,1208506816.0,-109.7308807,-82.75606537,-76.48333740000001,-0.040166024,-0.0045215690000000005,-0.04456997,31,1208506816,-164.41065980000002,-79.55895233,-0.448070288,-0.09833138,-0.016923396,-0.014883041000000001
31.0,1208523483.0,-110.18396000000001,-82.68217468,-76.08193207,0.010072853,-0.1332111,-0.00863266,32,1208523483,-164.3441315,-79.56163025,-0.518644631,-0.029171675,-0.09057292,0.035107612999999996
32.0,1208540150.0,-110.67728419999999,-82.58171844,-75.66204834,0.09018735,-0.2521364,0.04510498,33,1208540150,-164.2856293,-79.56900787,-0.610691607,0.01090387,-0.09933413,-0.029485703
33.0,1208556817.0,-111.2387314,-82.47605896,-75.19570923,0.15286873,-0.38079309999999994,0.08126449599999999,34,1208556817,-164.23114009999998,-79.57534790000001,-0.717652738,0.060759705,-0.09003163,-0.09900665
34.0,1208573484.0,-111.86170200000001,-82.37404633,-74.68692779999999,0.19062193,-0.46926948,0.17351913,35,1208573484,-164.15493769999998,-79.57200623,-0.854009151,0.09251856,-0.04541722,-0.061709404
35.0,1208590151.0,-112.4858932,-82.28912354,-74.18999481,0.21642749,-0.50660235,0.224329,36,1208590151,-164.09133909999997,-79.56264496,-0.978527248,0.123746775,0.077289216,-0.024151802000000003
36.0,1208606818.0,-113.13600159999999,-82.22118378,-73.67899323,0.23473294,-0.49419227,0.25416183,37,1208606818,-164.05989069999998,-79.54543304,-1.047722101,0.25110283,0.16390786,-0.017279625
37.0,1208623485.0,-113.7228088,-82.16667175,-73.24459839,0.23136759,-0.33032224,0.38066578,38,1208623485,-164.07519530000002,-79.51275635,-1.0428243879999999,0.30668828,0.18697116,-0.020292282
38.0,1208640152.0,-114.1334152,-82.13912964,-72.99184418,0.24117425,-0.081366815,0.46411800000000003,39,1208640152,-164.1470184,-79.46339417,-0.982839882,0.33412337,0.12744954,-0.047733307
39.0,1208656819.0,-114.3728027,-82.14629364,-72.89888,0.28664586,0.14049633,0.45961475,40,1208656819,-164.2959595,-79.40344238,-0.8654712440000001,0.23762423,0.059732272999999995,-0.08305359
40.0,1208673486.0,-114.4995728,-82.19430542,-72.87944794,0.27411237,0.3179223,0.39603330000000003,41,1208673486,-164.4918365,-79.33892059,-0.717959166,0.077329636,0.032923795,-0.09660816
41.0,1208690153.0,-114.4981689,-82.27558899,-72.92169952,0.17931959,0.44514203,0.27179718,42,1208690153,-164.69400019999998,-79.27165222,-0.548034668,-0.065078124,0.0789607,-0.03821373
42.0,1208706820.0,-114.31295779999999,-82.35401917,-73.07494354,0.004081228,0.6240197,0.16552448,43,1208706820,-164.8664398,-79.20761108,-0.366332352,-0.16869809,0.037892375,0.055994034000000005
43.0,1208723487.0,-114.01484679999999,-82.40319824,-73.27996826,-0.23178324,0.77203476,0.09845829,44,1208723487,-165.0202484,-79.15161896,-0.172276318,-0.24755217,-0.00159158,0.058015823
44.0,1208740154.0,-113.7957611,-82.41446686,-73.37241364,-0.45307252,0.76385003,0.067344666,45,1208740154,-165.1660919,-79.11031342,0.016680509,-0.23639065,-0.08912138,0.019618988
45.0,1208756821.0,-113.6815872,-82.38467407,-73.34786224,-0.6239657,0.6355135999999999,0.10971832,46,1208756821,-165.2480164,-79.08088684,0.12064801900000001,-0.23345883,-0.21887696,0.04643631
46.0,1208773488.0,-113.5876923,-82.32534790000001,-73.30382538,-0.63451743,0.41392812,0.14822483,47,1208773488,-165.2752686,-79.06594849,0.145980239,-0.22838959,-0.18652156,0.05979824
47.0,1208790155.0,-113.48864750000001,-82.25782776,-73.2748642,-0.5200282,0.11059457,0.16244984,48,1208790155,-165.25859069999998,-79.06589508,0.116397962,-0.23683338,-0.1093308,0.04457283
48.0,1208806822.0,-113.45048519999999,-82.20326233,-73.19774628,-0.34494369999999996,-0.21357295,0.16154003,49,1208806822,-165.20234680000002,-79.07919312,0.064109758,-0.18911557,-0.032969445,-0.013941765
49.0,1208823489.0,-113.4637375,-82.174263,-73.09168243,-0.21137322,-0.4075773,0.18704414,50,1208823489,-165.0902863,-79.10154724,-0.011433543999999999,-0.14440805,0.000975,0.025647162999999997
50.0,1208840156.0,-113.4789581,-82.17015839,-73.01858521,-0.119814746,-0.40591735,0.18293571,51,1208840156,-164.94369509999999,-79.1341095,-0.095838964,-0.10018994,-0.01384266,0.04497528
51.0,1208856823.0,-113.52362820000002,-82.17825317,-72.96098328,-0.11034478,-0.30272886,0.15861797,52,1208856823,-164.80912780000003,-79.17167664,-0.164580792,-0.050789315,-0.028279417999999997,-0.006617546
52.0,1208873490.0,-113.67671969999999,-82.18739319,-72.84329224,-0.12154575,-0.16705647,0.14824867,53,1208873490,-164.67713930000002,-79.21340179,-0.255873144,-0.009762068,-0.11319639999999999,-0.053020477
53.0,1208890157.0,-113.88327029999999,-82.19397736,-72.71968842,-0.16853826,-0.029393838999999998,0.2139883,54,1208890157,-164.53027340000003,-79.2530899,-0.394184351,0.06752644,-0.06142723,-0.027555466
54.0,1208906824.0,-113.9787216,-82.20900726,-72.74513245,-0.18124355,0.08033898,0.28650856,55,1208906824,-164.401413,-79.28606415,-0.5516026620000001,0.060402818,-0.044707897999999996,-0.004891396
55.0,1208923491.0,-113.863266,-82.23888397,-72.99991608,-0.17119427,0.17237593,0.2839222,56,1208923491,-164.2427368,-79.31188965,-0.77988416,0.049953554000000004,-0.15055023,0.093027115
56.0,1208940158.0,-113.52465819999999,-82.2806015,-73.46894073,-0.075908326,0.25043362,0.2946415,57,1208940158,-164.0192413,-79.32550049,-1.068002105,0.06044504,-0.14588232,0.13485909
57.0,1208956825.0,-112.9906845,-82.32521820000001,-74.11659241,-0.018578006,0.2521015,0.24854946,58,1208956825,-163.7821198,-79.33781433,-1.3452279569999999,-0.02259718,0.0008619999999999999,0.021607399
58.0,1208973492.0,-112.4186935,-82.36959076,-74.77837372,0.03965699,0.22960083,0.13402271,59,1208973492,-163.58187869999998,-79.35870361,-1.5257173780000002,-0.005986934,0.13124827,-0.14473152
59.0,1208990159.0,-112.0433044,-82.39847565,-75.20066071,0.06247556,0.19730283,0.026583672000000003,60,1208990159,-163.4078064,-79.38053131,-1.6274886130000001,0.00420942,0.15481491,-0.15577602
