sep=,
DeviceTag:,femurLeft,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.6.0,,,,,,,,,,,,,,,,,
AppVersion:,1.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Euler),,,,,,,,,,,,,,,,,
StartTime:,2021-03-17 16:46:03.572 +0800,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2021,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1, 191960173, 15.520875930786133, -15.867082595825195, -165.96578979492188, 0.046279795, 0.05493109, 0.04819584
2, 191976840, 15.521994590759277, -15.86845588684082, -165.9647216796875, 0.027694456, 0.061383866, 0.057401657
3, 191993507, 15.523163795471191, -15.868889808654785, -165.96656799316406, 0.05976067, 0.045420486, 0.07404423
4, 192010174, 15.528945922851562, -15.869244575500488, -165.9634246826172, 0.079367146, 0.03105422, 0.06327438
5, 192026841, 15.532283782958984, -15.869022369384766, -165.96115112304688, 0.086682856, -0.010148262, 0.044477463
6, 192043508, 15.531929016113281, -15.86754035949707, -165.9583282470703, 0.084996514, -0.026227163, 0.05475235
7, 192060175, 15.53133773803711, -15.86837387084961, -165.95928955078125, 0.07499629, -0.036931925, 0.047024727
8, 192076842, 15.529507637023926, -15.870000839233398, -165.96054077148438, 0.07412856, -0.008862051, 0.054748535
9, 192093509, 15.525870323181152, -15.871661186218262, -165.96185302734375, 0.059029885, 0.010262416, 0.053355217
10, 192110176, 15.524572372436523, -15.87236213684082, -165.96298217773438, 0.047815345, 0.012884335, 0.05368328
11, 192126843, 15.525982856750488, -15.871156692504883, -165.96304321289062, 0.03578103, 0.03190797, 0.060832977
12, 192143510, 15.52058219909668, -15.868324279785156, -165.9652557373047, 0.025820874, 0.029331563, 0.04708767
13, 192160177, 15.514270782470703, -15.8666353225708, -165.96502685546875, 0.057240997, 0.03354773, 0.04841423
14, 192176844, 15.51034164428711, -15.865795135498047, -165.9652862548828, 0.07495585, 0.038832318, 0.058398247
15, 192193511, 15.510570526123047, -15.864179611206055, -165.9639892578125, 0.065409094, 0.06417825, 0.057789803
16, 192210178, 15.512664794921875, -15.862370491027832, -165.96200561523438, 0.049736746, 0.046157114, 0.06529331
17, 192226845, 15.514421463012695, -15.860180854797363, -165.9569091796875, 0.037728973, 0.038359586, 0.06352329
18, 192243512, 15.51874828338623, -15.858118057250977, -165.95294189453125, 0.0614757, 0.007339788, 0.06999493
19, 192260179, 15.527509689331055, -15.85887622833252, -165.9542694091797, 0.06547308, -0.021866413, 0.05965233
20, 192276846, 15.529024124145508, -15.859046936035156, -165.9542694091797, 0.0640082, -0.050782505, 0.05203724
21, 192293513, 15.527349472045898, -15.857687950134277, -165.95602416992188, 0.08337015, -0.054809164, 0.071653366
22, 192310180, 15.526606559753418, -15.855977058410645, -165.95745849609375, 0.0776287, -0.009871435, 0.039712906
23, 192326847, 15.519095420837402, -15.85340690612793, -165.95657348632812, 0.06384563, 0.022268288, 0.05597973
24, 192343514, 15.513137817382812, -15.850512504577637, -165.955078125, 0.062102333, 0.014076189, 0.061917305
25, 192360181, 15.506942749023438, -15.849433898925781, -165.95542907714844, 0.06274988, 0.015697664, 0.0680666
26, 192376848, 15.50619125366211, -15.849885940551758, -165.9561004638672, 0.07413696, 0.02072799, 0.07313919
27, 192393515, 15.509973526000977, -15.85191822052002, -165.9597930908203, 0.056982253, 0.010971902, 0.052858353
28, 192410182, 15.509716987609863, -15.852240562438965, -165.96267700195312, 0.045817304, 0.013379122, 0.041635513
29, 192426849, 15.505590438842773, -15.84981918334961, -165.9611358642578, 0.051119633, 0.049626064, 0.02775383
30, 192443516, 15.502422332763672, -15.845277786254883, -165.95977783203125, 0.042624634, 0.058234904, 0.050387383
31, 192460183, 15.506020545959473, -15.843692779541016, -165.958251953125, 0.04672889, 0.030480476, 0.061076164
32, 192476850, 15.511393547058105, -15.843332290649414, -165.95477294921875, 0.047091093, 0.051716387, 0.05130005
33, 192493517, 15.509509086608887, -15.84139633178711, -165.94886779785156, 0.062001333, 0.003822714, 0.06966972
34, 192510184, 15.507331848144531, -15.838447570800781, -165.9411163330078, 0.06532155, 0.006746948, 0.050543785
35, 192526851, 15.504799842834473, -15.835539817810059, -165.93478393554688, 0.04833064, -0.013791531, 0.052028656
36, 192543518, 15.504871368408203, -15.834665298461914, -165.9345245361328, 0.07607354, -0.024504969, 0.07936287
37, 192560185, 15.506701469421387, -15.837629318237305, -165.93960571289062, 0.09171084, -0.054412205, 0.076743126
38, 192576852, 15.505456924438477, -15.839642524719238, -165.9446258544922, 0.07370998, -0.0495369, 0.06247425
39, 192593519, 15.504057884216309, -15.838828086853027, -165.95155334472656, 0.062475644, -0.007304166, 0.049907684
40, 192610186, 15.501672744750977, -15.83669662475586, -165.95669555664062, 0.049678843, 0.048463408, 0.042627335
41, 192626853, 15.499970436096191, -15.834376335144043, -165.95846557617188, 0.043895375, 0.053718407, 0.039696693
42, 192643520, 15.496231079101562, -15.831941604614258, -165.95716857910156, 0.04849636, 0.04851755, 0.0655241
43, 192660187, 15.495442390441895, -15.829556465148926, -165.95455932617188, 0.065220915, 0.07932054, 0.058401108
44, 192676854, 15.500163078308105, -15.828707695007324, -165.95101928710938, 0.033043876, 0.056202024, 0.06495762
45, 192693521, 15.50607967376709, -15.826723098754883, -165.9469757080078, 0.043760944, 0.039663784, 0.05986309
46, 192710188, 15.511885643005371, -15.826519966125488, -165.94290161132812, 0.04845022, 0.014582236, 0.06540203
47, 192726855, 15.51646900177002, -15.82737922668457, -165.94183349609375, 0.053955734, -0.051726, 0.0630703
48, 192743522, 15.515447616577148, -15.826142311096191, -165.94552612304688, 0.058734007, -0.08257046, 0.049593925
49, 192760189, 15.511228561401367, -15.825852394104004, -165.94679260253906, 0.06880703, -0.06050852, 0.064665794
50, 192776856, 15.508190155029297, -15.827112197875977, -165.9485321044922, 0.086526446, -0.06651171, 0.073493004
51, 192793523, 15.50400161743164, -15.827662467956543, -165.951171875, 0.08860591, -0.057039946, 0.043902397
