PacketCounter_tibia,SampleTimeFine_tibia,Euler_X_tibia,Euler_Y_tibia,Euler_Z_tibia,FreeAcc_X_tibia,FreeAcc_Y_tibia,FreeAcc_Z_tibia
418,198910312,-149.8514862,-75.06491089,8.667970657,0.07968035,0.12501863,0.04731846
419,198926979,-149.4215088,-75.076828,8.258228302,0.048064448,0.2736249,-0.0962801
420,198943646,-149.0929565,-75.07648468,7.874613762,-0.067929834,0.4324665,-0.13637924
421,198960313,-148.825531,-75.06446075,7.594486713,-0.026938116,0.52609116,-0.035811424
422,198976980,-148.4985657,-75.05476379,7.373621941,0.15259543,0.21226266,0.14004326
423,198993647,-148.1798553,-75.04511261,7.181905746,0.38434282,-0.038871363,0.003166199
424,199010314,-147.9280548,-75.02407837,6.991323471,0.35741615,0.07856458,-0.21902752
425,199026981,-147.7524261,-74.99265289,6.819529057,0.18932118,0.17462856,-0.15088367
426,199043648,-147.5938873,-74.95301056,6.628970623,0.08269393,0.050978724,-0.10691738
427,199060315,-147.4405823,-74.91130829,6.404949665,-0.05106902,-0.062468294,-0.05343914
428,199076982,-147.2897339,-74.86707306,6.165001392,-0.1372555,-0.14230756,-0.08758259
429,199093649,-147.1047211,-74.82761383,5.898803234,-0.20434448,-0.32271427,-0.014325142
430,199110316,-146.8428955,-74.80170441,5.567697525,-0.23077165,-0.43759713,0.017967224
431,199126983,-146.55896,-74.78739929,5.231967926,-0.29266092,-0.23230964,-0.010972023
432,199143650,-146.230957,-74.77814484,4.92222023,-0.046905927,-0.031515215,-0.058992386
433,199160317,-145.9063416,-74.76667786,4.603505135,0.1378553,-0.1238454,-0.05893421
434,199176984,-145.6603088,-74.74124908,4.306793213,0.26603606,0.26573622,-0.17327118
435,199193651,-145.3889313,-74.68559265,3.969321012,0.44715998,0.3866735,-0.3946724
436,199210318,-145.1852112,-74.6031189,3.578770399,0.5696388,0.06644392,-0.32175732
437,199226985,-145.0930634,-74.5049057,3.236785412,0.4242234,0.14682834,-0.13833618
438,199243652,-144.9728088,-74.40823364,2.948676825,0.37574047,0.05333343,-0.2653761
439,199260319,-144.822403,-74.30247498,2.68402791,0.32856253,-0.15326205,-0.26698494
440,199276986,-144.6170502,-74.2072525,2.362525225,-0.20226263,-0.18150102,0.35290623
441,199293653,-144.4062195,-74.13012695,2.091777325,-0.57771105,0.06811602,0.6408968
442,199310320,-144.0727844,-74.07243347,1.917669535,-0.95350987,0.28873917,0.5216961
443,199326987,-143.5243835,-74.03150177,1.761497378,-0.86699736,-0.10201735,0.117191315
444,199343654,-142.8484192,-74.00337219,1.546894908,-0.44655716,-0.5292404,-0.045698166
445,199360321,-142.2082214,-73.98475647,1.342189074,0.028655171,-0.4493993,-0.13448524
446,199376988,-141.6921844,-73.96983337,1.214624882,0.19660741,0.00729144,-0.25792217
