sep=,
DeviceTag:,tibiaLeft,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.6.0,,,,,,,,,,,,,,,,,
AppVersion:,1.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Euler),,,,,,,,,,,,,,,,,
StartTime:,2021-03-10 17:02:37.943 +0800,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2021,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1, 2343592535, -129.1051025390625, -73.2071304321289, -23.077043533325195, 0.037263744, 0.017127462, -0.009520531
2, 2343609202, -129.12277221679688, -73.19854736328125, -23.056840896606445, 0.0719591, 0.034623943, 0.025515556
3, 2343625869, -129.1142578125, -73.19160461425781, -23.055795669555664, 0.07704288, 0.027878324, 0.03631878
4, 2343642536, -129.0989990234375, -73.19439697265625, -23.056350708007812, 0.1125975, 0.009853345, -0.008311272
5, 2343659203, -129.0953369140625, -73.19650268554688, -23.0460147857666, 0.110519275, -0.019616056, -0.0593338
6, 2343675870, -129.09378051757812, -73.19536590576172, -23.043251037597656, 0.09817498, -0.06595107, -0.048841476
7, 2343692537, -129.09451293945312, -73.19580841064453, -23.056243896484375, 0.048160575, -0.11237326, -0.027127266
8, 2343709204, -129.11671447753906, -73.1960678100586, -23.076820373535156, 0.01396977, -0.08179155, 0.028004646
9, 2343725871, -129.1385498046875, -73.19927978515625, -23.111454010009766, -0.024183348, -0.057178304, 0.07339764
10, 2343742538, -129.14093017578125, -73.21678924560547, -23.178272247314453, -0.06973448, 0.024878891, 0.049793243
11, 2343759205, -129.14529418945312, -73.23890686035156, -23.24203872680664, -0.12084678, 0.09270871, -0.0040302277
12, 2343775872, -129.14944458007812, -73.25591278076172, -23.29096794128418, -0.16313864, 0.14750078, -0.04034424
13, 2343792539, -129.16070556640625, -73.26375579833984, -23.314271926879883, -0.15837304, 0.14757174, -0.0476017
14, 2343809206, -129.17868041992188, -73.25933837890625, -23.316282272338867, -0.1826891, 0.15026742, -0.010902405
15, 2343825873, -129.19143676757812, -73.24793243408203, -23.303369522094727, -0.18119451, 0.15052089, 0.0136938095
16, 2343842540, -129.2049102783203, -73.2365951538086, -23.263778686523438, -0.12906761, 0.12996194, -0.0015277863
17, 2343859207, -129.20632934570312, -73.22949981689453, -23.216524124145508, -0.07480409, 0.057902597, 0.002149582
18, 2343875874, -129.1729278564453, -73.2256851196289, -23.179244995117188, -0.04901061, 0.021828722, 0.01647377
19, 2343892541, -129.10427856445312, -73.22830200195312, -23.17389678955078, -0.010867479, -0.0116868215, -0.0015449524
20, 2343909208, -129.05392456054688, -73.2283935546875, -23.15532875061035, 0.02070828, -0.029115357, -0.030957222
21, 2343925875, -129.02322387695312, -73.22229766845703, -23.125333786010742, 0.03143967, -0.049567685, -0.008886337
22, 2343942542, -128.99745178222656, -73.21456909179688, -23.093008041381836, 0.046638217, -0.06453541, 0.019569397
23, 2343959209, -128.97296142578125, -73.2110595703125, -23.076942443847656, 0.065426655, -0.08169644, 0.023087502
24, 2343975876, -128.9264373779297, -73.21791076660156, -23.093175888061523, 0.055657633, -0.049554944, 0.07247639
25, 2343992543, -128.85784912109375, -73.2354965209961, -23.138057708740234, 0.049181093, -0.03839159, 0.049099922
27, 2344025877, -128.74208068847656, -73.27693939208984, -23.225461959838867, 0.0055144, -0.0065605524, -0.09993744
28, 2344042544, -128.70831298828125, -73.27950286865234, -23.259986877441406, -0.024215141, -0.009430794, -0.055174828
30, 2344075878, -128.6221466064453, -73.27625274658203, -23.368274688720703, -0.07254708, -0.070717044, 0.014436722
32, 2344109212, -128.5703582763672, -73.28842163085938, -23.457773208618164, -0.0500222, 0.0068886694, -0.024154663
34, 2344142546, -128.5630645751953, -73.29098510742188, -23.471487045288086, -0.027043978, 0.017275205, -0.039004326
36, 2344175880, -128.541748046875, -73.269775390625, -23.489112854003906, -0.022663208, 0.015541079, -0.013142586
39, 2344225881, -128.51950073242188, -73.2403793334961, -23.52216339111328, 0.09518573, 0.00154928, -0.00390625
41, 2344259215, -128.52272033691406, -73.23693084716797, -23.537288665771484, 0.07781478, 0.008107038, -0.012420654
43, 2344292549, -128.53839111328125, -73.24201202392578, -23.579526901245117, 0.023990791, -0.01898318, -0.002325058
45, 2344325883, -128.5134735107422, -73.24864959716797, -23.719573974609375, -0.080158785, 0.0044713765, -9.775162E-4
46, 2344342550, -128.53546142578125, -73.25468444824219, -23.759933471679688, -0.097911164, 0.040262617, -0.016075134
50, 2344409218, -128.6623992919922, -73.24578094482422, -23.754026412963867, -0.08336863, 0.20505895, 0.013674736
52, 2344442552, -128.60702514648438, -73.25560760498047, -23.792770385742188, -0.09692497, 0.1925581, 0.016958237
54, 2344475886, -128.59576416015625, -73.24945068359375, -23.733688354492188, -0.049247056, 0.077360965, -2.9277802E-4
55, 2344492553, -128.5812530517578, -73.24188232421875, -23.70357322692871, -0.03432656, 0.021043409, 0.015778542
57, 2344525887, -128.54348754882812, -73.24562072753906, -23.678247451782227, 0.044899296, -0.09204688, -0.032263756
61, 2344592555, -128.4858856201172, -73.2790298461914, -23.747814178466797, -0.073086224, 0.023827488, 0.056570053
63, 2344625889, -128.52011108398438, -73.32709503173828, -23.730304718017578, -0.12696964, 0.1235726, -0.012070656
64, 2344642556, -128.50942993164062, -73.34286499023438, -23.73457908630371, -0.12731527, 0.1234338, -0.050811768
66, 2344675890, -128.46896362304688, -73.33458709716797, -23.754865646362305, -0.078274965, 0.02796337, -0.00829792
68, 2344709224, -128.4423370361328, -73.33206176757812, -23.760513305664062, -0.014691549, -0.049565405, 0.03319931
70, 2344742558, -128.4102325439453, -73.36448669433594, -23.786806106567383, -0.04856568, -0.02023284, -0.012516975
72, 2344775892, -128.4151611328125, -73.38347625732422, -23.792438507080078, -0.051167704, -1.5735312E-4, -0.0138731
73, 2344792559, -128.4271697998047, -73.38228607177734, -23.792266845703125, -0.041287117, -0.004580898, 0.0160141
75, 2344825893, -128.48956298828125, -73.38410186767578, -23.758014678955078, 0.072303034, -0.020348173, -0.023797035
77, 2344859227, -128.4879150390625, -73.40484619140625, -23.802457809448242, 0.04950509, -0.048930004, -0.02128601
81, 2344925895, -128.45606994628906, -73.45425415039062, -23.9420223236084, -0.11090568, -0.0033509063, -0.02735138
82, 2344942562, -128.47607421875, -73.45182037353516, -23.91724395751953, -0.14738648, 0.017377462, -0.030591011
84, 2344975896, -128.5074462890625, -73.43111419677734, -23.846607208251953, -0.05340736, 0.06453143, -0.02904129
86, 2345009230, -128.61183166503906, -73.39476776123047, -23.711336135864258, 0.13093582, 0.06616051, -0.020832062
88, 2345042564, -128.6926727294922, -73.36636352539062, -23.647586822509766, 0.1995438, -0.012424415, 8.325577E-4
90, 2345075898, -128.71397399902344, -73.3625259399414, -23.679819107055664, 0.12795179, 0.0023948296, 0.070674896
91, 2345092565, -128.7171173095703, -73.37440490722656, -23.72306251525879, 0.06090812, 1.2818468E-4, 0.12129116
93, 2345125899, -128.6504669189453, -73.43797302246094, -23.877843856811523, -0.093852445, 0.03334746, -0.0049648285
95, 2345159233, -128.53411865234375, -73.48615264892578, -24.037639617919922, -0.23852001, 0.063949406, -0.077604294
97, 2345192567, -128.47157287597656, -73.47964477539062, -24.032546997070312, -0.2222453, 0.077157676, -0.034482956
99, 2345225901, -128.48150634765625, -73.45884704589844, -23.889209747314453, -0.17080522, 0.100153476, -0.0066747665
100, 2345242568, -128.50233459472656, -73.44728088378906, -23.814424514770508, -0.10879088, 0.09712398, -0.06978226
102, 2345275902, -128.541015625, -73.39009094238281, -23.69649887084961, 0.06359332, -0.03692445, 0.0067481995
104, 2345309236, -128.5789337158203, -73.34990692138672, -23.619550704956055, 0.16292617, -0.1736271, 0.086081505
106, 2345342570, -128.59373474121094, -73.38926696777344, -23.637781143188477, 0.10458368, -0.10401175, -0.036126137
108, 2345375904, -128.54159545898438, -73.41547393798828, -23.754243850708008, -0.0109206475, 0.025030322, -0.009947777
109, 2345392571, -128.51025390625, -73.42032623291016, -23.811410903930664, -0.018903663, 0.05592484, 0.014639854
