PacketCounter_tibia,SampleTimeFine_tibia,Euler_X_tibia,Euler_Y_tibia,Euler_Z_tibia,FreeAcc_X_tibia,FreeAcc_Y_tibia,FreeAcc_Z_tibia,PacketCounter_femur,SampleTimeFine_femur,Euler_X_femur,Euler_Y_femur,Euler_Z_femur,FreeAcc_X_femur,FreeAcc_Y_femur,FreeAcc_Z_femur
1114,2362142906,-122.7105408,-75.38332367,-33.8985672,0.014650464,0.03872116,0.03973961,573,2353126059,-172.9992218,-72.84434509,-29.26231384,0.72348964,0.27628943,-1.1788626
1116,2362176240,-122.6182175,-75.4077301,-33.83472061,0.037086833,0.048255328,0.030540466,574,2353142726,-175.403183,-71.56533813,-26.95781517,-0.03825465,0.5226797,-1.5604849
,,,,,,,,575,2353159393,-177.1329803,-70.21867371,-25.04809761,-0.15712158,0.5642891,-1.2911186
,,,,,,,,576,2353176060,-178.2824249,-68.89652252,-23.42695999,-0.05252817,-0.02299831,-0.74809456
,,,,,,,,577,2353192727,-179.1822815,-67.59471893,-22.07213783,-0.76336074,-0.77975035,0.006554604
,,,,,,,,578,2353209394,179.9932251,-66.31452942,-21.06816292,-1.5186055,-1.0872142,0.500062
,,,,,,,,579,2353226061,179.284729,-65.06964111,-20.38250732,-1.3908284,-0.9439532,0.06543732
,,,,,,,,580,2353242728,178.6237793,-63.79878998,-19.96300697,-1.0316865,-0.44553855,-0.5866966
,,,,,,,,581,2353259395,178.0781403,-62.53266907,-19.65416718,-0.6442676,-0.013928601,-0.6733427
,,,,,,,,582,2353276062,177.5937195,-61.29385376,-19.36837387,-0.6023727,0.9948099,-0.123874664
,,,,,,,,583,2353292729,177.2734375,-60.07908249,-19.06270218,0.38067737,1.0480397,0.33035374
,,,,,,,,584,2353309396,177.1616669,-58.96318054,-18.7673912,-0.09516164,0.46775004,1.1744089
,,,,,,,,585,2353326063,177.1394348,-58.01902771,-18.43519592,-1.7704996,0.22218473,1.5965834
,,,,,,,,586,2353342730,177.0424805,-57.13214874,-18.06248283,-1.9407862,0.05768266,0.8318176
,,,,,,,,587,2353359397,176.7504883,-56.25529861,-17.73777962,-1.5343561,0.056692943,0.38054466
,,,,,,,,588,2353376064,176.3130188,-55.45836258,-17.4100399,-2.0893776,0.5782967,0.7515116
,,,,,,,,589,2353392731,176.0215149,-54.71152878,-17.1402874,-1.3015662,0.044088714,0.68891144
,,,,,,,,590,2353409398,176.0281372,-54.01708984,-17.05377388,-0.4769758,-0.8720871,0.73272896
,,,,,,,,591,2353426065,176.0372467,-53.48940659,-17.1326313,-1.2759975,-0.70468616,1.2907591
,,,,,,,,592,2353442732,175.8638,-53.06018448,-17.24092293,-0.9748443,-0.2334224,1.0295238
,,,,,,,,593,2353459399,175.7205811,-52.67916107,-17.38324738,-0.6154908,0.47929415,1.0221167
,,,,,,,,594,2353476066,175.7224579,-52.28090668,-17.47042084,0.16402182,0.8112919,0.14781761
,,,,,,,,595,2353492733,175.8702698,-51.87682343,-17.4402523,0.114249006,0.7443797,-0.0774107
,,,,,,,,596,2353509400,176.2415771,-51.54959488,-17.39672089,-0.4825115,0.18743283,0.5075674
,,,,,,,,597,2353526067,176.5778046,-51.31768417,-17.40074348,-1.0605243,0.26245025,1.0354528
,,,,,,,,598,2353542734,176.5912018,-51.14939117,-17.39425087,-0.61326087,0.58635396,0.8277416
,,,,,,,,599,2353559401,176.3674316,-50.98059845,-17.28112221,-0.06582277,0.602834,0.3210392
,,,,,,,,600,2353576068,176.1834869,-50.83993149,-17.13260269,-0.09326933,-0.15890788,0.36155415
,,,,,,,,601,2353592735,175.9295502,-50.77458191,-16.99381828,-0.7506147,-0.3366589,0.57258034
,,,,,,,,602,2353609402,175.467514,-50.7532692,-16.89434242,-0.37154675,-0.0790272,0.24612808
,,,,,,,,603,2353626069,174.9190826,-50.71505737,-16.81069183,0.17891102,0.20041747,-0.1606369
,,,,,,,,604,2353642736,174.5540619,-50.65927124,-16.79153824,0.45612687,0.090770565,0.22999477
,,,,,,,,605,2353659403,174.4403687,-50.65673447,-16.81663895,0.04736051,0.30341253,0.56683254
,,,,,,,,606,2353676070,174.5347137,-50.63634491,-16.80468941,-0.07140722,0.28239828,-0.053887367
,,,,,,,,607,2353692737,174.7441559,-50.54750824,-16.76534653,0.144327,0.045814008,-0.18736744
,,,,,,,,608,2353709404,174.8916473,-50.47194672,-16.73358917,-0.056575727,0.24574943,0.41871548
,,,,,,,,609,2353726071,175.044281,-50.43903351,-16.69314957,-0.26242515,-0.022602636,0.37042332
,,,,,,,,610,2353742738,175.2409668,-50.40557098,-16.70432091,-0.34127146,-0.2748013,0.14058304
,,,,,,,,611,2353759405,175.292923,-50.36671829,-16.75855255,-0.07698194,-0.411191,0.23514652
,,,,,,,,612,2353776072,175.1237183,-50.34367371,-16.7442627,-0.27638853,-0.18271698,0.34015465
,,,,,,,,613,2353792739,174.9618225,-50.3318634,-16.74136353,-0.29837978,-0.28956434,0.5532932
,,,,,,,,614,2353809406,174.8517609,-50.34532166,-16.80110168,-0.24275832,0.01814657,0.3462143
,,,,,,,,615,2353826073,174.7434998,-50.3420372,-16.81027794,-0.16521649,0.60662246,-0.032058716
,,,,,,,,616,2353842740,174.8527527,-50.34496307,-16.81469917,0.18381917,0.6396825,0.33153534
,,,,,,,,617,2353859407,175.2842865,-50.37992096,-16.86642265,-0.22195123,0.010851889,0.5482254
,,,,,,,,618,2353876074,175.6813812,-50.43106842,-16.91985321,-0.7462312,-0.12003316,0.33400536
,,,,,,,,619,2353892741,175.8778534,-50.50541687,-16.9619751,-0.65356386,0.1356295,0.49823284
,,,,,,,,620,2353909408,175.9910736,-50.65727997,-17.00343895,-0.2391017,0.045805406,0.73793983
,,,,,,,,621,2353926075,176.0700836,-50.84386063,-17.04646492,-0.32442096,-0.118702084,0.5094099
,,,,,,,,622,2353942742,175.9869232,-51.0461235,-17.07230186,-0.36739948,0.37689626,0.32180595
,,,,,,,,623,2353959409,175.8840485,-51.28066635,-17.06212997,-0.22682765,0.63614553,0.43586445
,,,,,,,,624,2353976076,175.9359283,-51.57913589,-17.07348251,-0.013640647,0.39499164,0.8037739
,,,,,,,,625,2353992743,176.0778656,-51.94543839,-17.09460068,-0.24700098,0.31959906,0.7483587
,,,,,,,,626,2354009410,176.14888,-52.30238342,-16.9748764,-0.41836882,0.45109603,0.2916937
,,,,,,,,627,2354026077,176.0730133,-52.62461853,-16.61048698,-0.2811204,0.24084158,0.6949158
