PacketCounter_tibia,SampleTimeFine_tibia,Euler_X_tibia,Euler_Y_tibia,Euler_Z_tibia,FreeAcc_X_tibia,FreeAcc_Y_tibia,FreeAcc_Z_tibia
66,1209090161,-162.6667023,-79.501297,-2.095671654,0.14171493,0.116319045,-0.01510334
67,1209106828,-162.6594391,-79.50827026,-2.049127579,0.18640418,0.10191319,-0.081088066
68,1209123495,-162.6694489,-79.50643921,-1.984033823,0.15351096,0.051098023,-0.08438969
69,1209140162,-162.7103119,-79.49517059,-1.903230071,0.1123781,0.007833403,-0.034939766
70,1209156829,-162.7697449,-79.47783661,-1.827664495,0.11268021,-0.011147932,0.005108833
71,1209173496,-162.8510284,-79.45600128,-1.756490469,0.11053855,-0.009878267,0.01011467
72,1209190163,-162.9392395,-79.43398285,-1.696080565,0.07303414,0.013050195,-0.024188995
73,1209206830,-163.0047913,-79.4108963,-1.656447411,0.032759693,-0.004073132,-0.001631737
74,1209223497,-163.0615997,-79.38763428,-1.605676055,-0.005602709,0.033412896,0.029442787
75,1209240164,-163.1221771,-79.36614227,-1.519787788,-0.022373982,0.035993855,0.003186226
76,1209256831,-163.1274719,-79.34885406,-1.45610249,-0.09371408,-0.04500372,-0.030873299
77,1209273498,-163.1228485,-79.33325958,-1.379506946,-0.07953207,0.02985971,-0.024409294
78,1209290165,-163.1133881,-79.32161713,-1.293698907,-0.06780266,-0.085992865,-0.033857346
79,1209306832,-163.0836945,-79.31655121,-1.252024889,-0.09963208,-0.15161331,-0.015024185
80,1209323499,-163.0460358,-79.31472778,-1.245906591,-0.10627255,-0.064042605,0.008419037
81,1209340166,-163.0214539,-79.31784058,-1.241360784,-0.082715064,-0.031542484,-0.01252842
82,1209356833,-163.0251312,-79.32341766,-1.219239473,-0.0441685,0.008362235,-0.08620262
83,1209373500,-163.0531616,-79.33162689,-1.177963138,-0.01172528,0.034646966,-0.06064415
84,1209390167,-163.0990448,-79.34037781,-1.115377426,-0.028619004,0.024793398,-0.013776779
85,1209406834,-163.1615753,-79.35164642,-1.044789076,-0.013210195,-0.019128574,0.01864338
86,1209423501,-163.2233429,-79.36546326,-0.989095271,0.00532762,-0.05180086,0.010955811
87,1209440168,-163.302475,-79.37979126,-0.922326863,0.00836623,-0.019833254,-0.043621063
88,1209456835,-163.3799896,-79.39099121,-0.850633562,-0.03411458,0.019916905,-0.022454262
89,1209473502,-163.4594574,-79.40420532,-0.7643525,-0.061974764,0.028212197,-0.036076546
90,1209490169,-163.5478973,-79.41996765,-0.658175528,-0.0815191,-0.017300406,-0.03667736
91,1209506836,-163.6047363,-79.43929291,-0.582101524,-0.06584487,-0.07590807,0.016168594
92,1209523503,-163.6343842,-79.46240234,-0.546682477,-0.063543424,-0.115372695,0.08823967
93,1209540170,-163.6504517,-79.48760223,-0.533873498,-0.012912273,-0.05856805,0.020251274
94,1209556837,-163.6633453,-79.5154953,-0.527994633,-0.022097679,0.012827241,-0.04950428
95,1209573504,-163.6637726,-79.54399109,-0.534647107,-0.059531286,-0.002062075,-0.041894913
96,1209590171,-163.6527252,-79.57241821,-0.537449121,-0.035421453,0.030481858,-0.036810875
97,1209606838,-163.670166,-79.60132599,-0.512898564,0.001426048,-0.017554037,-0.006088257
98,1209623505,-163.709671,-79.62936401,-0.491825759,0.011971046,-0.09394998,-0.020525932
99,1209640172,-163.7506561,-79.6556778,-0.494888306,0.087392144,-0.07043223,-0.030659676
100,1209656839,-163.7887726,-79.6784668,-0.511506498,0.11533104,0.013304106,-0.031294823
101,1209673506,-163.8475342,-79.69428253,-0.501295447,0.125767,0.077586435,0.006973267
102,1209690173,-163.941803,-79.70510864,-0.449693084,0.10449457,0.08691128,-0.036128998
103,1209706840,-164.0468597,-79.71311951,-0.378336489,0.09398701,0.05489674,-0.06359005
104,1209723507,-164.1494446,-79.71547699,-0.303578526,0.035538476,0.009019139,-0.008914948
105,1209740174,-164.2470856,-79.71517944,-0.234912544,0.026597356,-0.041581847,0.03494358
106,1209756841,-164.3556976,-79.71585083,-0.156632304,-0.007621973,-0.018075883,-0.01560688
107,1209773508,-164.4510651,-79.71691132,-0.086255915,-0.030940054,0.009245725,-0.035173416
108,1209790175,-164.5202484,-79.71691132,-0.024898665,-0.04066207,0.045890953,-0.012251854
109,1209806842,-164.5655518,-79.72119141,0.030856421,-0.071310386,0.00298373,0.03473568
110,1209823509,-164.6081696,-79.72840881,0.08477667,-0.054522794,-0.072169095,-0.009813309
111,1209840176,-164.6300659,-79.73680115,0.110222764,-0.031825047,-0.098036416,-0.034101486
112,1209856843,-164.6404724,-79.74588776,0.11959976,-0.019994888,-0.060280047,-0.011060715
113,1209873510,-164.6313629,-79.75552368,0.117627442,0.020983137,0.007585024,0.018418312
114,1209890177,-164.6320648,-79.7663269,0.127052903,0.031580348,0.02674014,-0.006766319
115,1209906844,-164.6613159,-79.77561188,0.159082159,0.03701441,0.004490654,-0.052368164
116,1209923511,-164.6978302,-79.78205872,0.188227683,0.042176194,0.016421217,-0.020915031
117,1209940178,-164.7337494,-79.78826141,0.197687715,0.014341869,0.016668255,0.02240181
118,1209956845,-164.7759247,-79.79489136,0.196410865,0.03013746,-0.002501836,-0.018117905
119,1209973512,-164.8421478,-79.7973175,0.207688108,0.04032502,-0.008209184,-0.022415161
120,1209990179,-164.9189453,-79.79706573,0.221993431,0.021412931,-7.65E-04,-0.045576096
121,1210006846,-164.9883881,-79.79708862,0.24056311,0.006702546,0.00354201,-0.027600288
122,1210023513,-165.0480499,-79.79457855,0.276052177,0.01626739,0.021084983,-0.009093285
123,1210040180,-165.1092529,-79.78966522,0.323627532,0.027456373,-0.01252019,0.002075195
124,1210056847,-165.1734619,-79.78327179,0.363811702,0.03837278,-0.03773793,-0.011792183
125,1210073514,-165.2433929,-79.77763367,0.402605116,0.043989807,-0.028635418,-0.0541687
126,1210090181,-165.3107147,-79.76802826,0.434634209,0.021236546,-0.03363356,-0.05089283
127,1210106848,-165.3827209,-79.75746918,0.469228923,-0.01912414,-0.003293743,-0.003404617
128,1210123515,-165.45961,-79.75032043,0.52771461,-0.036210615,0.016449157,0.00962162
129,1210140182,-165.5279388,-79.7456665,0.596584797,-0.05024736,-0.006476064,-0.023917198
130,1210156849,-165.5865784,-79.7401886,0.668061137,-0.035578094,0.011250748,-0.027101517
131,1210173516,-165.6395874,-79.7374115,0.73526907,-0.019267067,-0.024006354,-0.012009621
132,1210190183,-165.6991272,-79.73695374,0.801549971,-0.020727035,-0.0312318,-0.014505386
133,1210206850,-165.7526245,-79.73875427,0.854938388,-0.042285018,0.025443764,-0.01732254
134,1210223517,-165.8014679,-79.73999786,0.91889441,-0.022789605,0.058799107,0.00346756
135,1210240184,-165.8450623,-79.74318695,0.999131203,0.010233967,-0.03700721,0.002575874
136,1210256851,-165.8612518,-79.74794769,1.043990493,0.025989542,-0.07000867,0.007312775
137,1210273518,-165.8596344,-79.7531662,1.062420964,0.00227796,-0.06610552,-0.008403778
138,1210290185,-165.8347473,-79.75984955,1.053736925,-0.005065097,-0.04637061,-0.002092362
139,1210306852,-165.7955627,-79.76488495,1.030372977,-0.010864071,-0.016252242,0.002496719
140,1210323519,-165.7593994,-79.7710495,1.011014104,0.002689909,-0.001075544,-0.020954132
141,1210340186,-165.7250671,-79.77724457,0.987647474,-0.013491682,0.001306992,-0.026721
142,1210356853,-165.6970215,-79.78423309,0.968497038,-0.009792836,0.009832391,-0.048205376
143,1210373520,-165.6640472,-79.78951263,0.947303712,-0.011730813,0.024783954,-0.028813362
144,1210390187,-165.6401672,-79.79671478,0.932006538,-0.015865333,-0.02245724,0.00265789
145,1210406854,-165.6158295,-79.80500793,0.907061696,-0.013310127,-0.0441114,-0.003128052
146,1210423521,-165.5865936,-79.81182861,0.865892649,0.006547819,-0.022113645,-0.024617195
147,1210440188,-165.5493011,-79.81797028,0.81439966,0.01353825,0.011744823,-0.005879402
148,1210456855,-165.5209656,-79.82390594,0.774316251,0.004532228,0.010887261,0.006977081
149,1210473522,-165.5031128,-79.82954407,0.750533521,0.035248984,0.024133196,-0.004555702
150,1210490189,-165.4951019,-79.8314209,0.739906847,0.06500204,0.012374348,-0.037807465
151,1210506856,-165.4971313,-79.83254242,0.738186717,0.038417086,0.023920637,-0.056043625
152,1210523523,-165.4980927,-79.83207703,0.737772644,0.02651048,0.007766796,-0.026846886
153,1210540190,-165.5078583,-79.83037567,0.749298096,-0.02544797,0.019023076,-8.59E-04
154,1210556857,-165.5225372,-79.82935333,0.765598357,-0.031357616,0.008315576,0.00633049
155,1210573524,-165.5329132,-79.83047485,0.771963,-0.01450071,-0.029960347,0.001639366
156,1210590191,-165.5375519,-79.83274078,0.765587986,-0.008595044,-0.047321156,-0.016083717
157,1210606858,-165.5471497,-79.83525085,0.757945895,-0.001285668,-0.027604297,-0.0395813
158,1210623525,-165.5512543,-79.83975983,0.744198501,-0.025861315,0.011126083,-0.019424438
159,1210640192,-165.5520782,-79.84551239,0.739241958,-0.013519873,0.029339764,0.005188942
160,1210656859,-165.5475616,-79.85284424,0.739373803,-0.03185576,0.001694116,-0.002479553
161,1210673526,-165.5415192,-79.86128998,0.74086982,0.004307947,-0.027113685,-0.001434326
162,1210690193,-165.5332489,-79.87049103,0.729667485,0.022164432,-0.03941489,-0.02514267
163,1210706860,-165.5299072,-79.878479,0.709274828,0.024831368,-0.019224294,-0.03595352
164,1210723527,-165.5208282,-79.88705444,0.678747714,0.009500446,-4.56E-04,-0.026791573
165,1210740194,-165.4989624,-79.89581299,0.639627934,-0.008881629,-0.001261116,0.004911423
166,1210756861,-165.4868164,-79.90222931,0.618549705,0.003358324,0.03749251,-0.020634651
167,1210773528,-165.4871979,-79.90725708,0.620950401,0.038115554,0.019609965,-0.021966934
168,1210790195,-165.4857941,-79.91088867,0.625978947,0.0382896,-0.002108789,-0.027135849
169,1210806862,-165.4806519,-79.91145325,0.628869414,0.06267042,0.00143825,-0.014310837
170,1210823529,-165.4872894,-79.91022491,0.639319897,0.046915133,0.009607257,-0.014456749
171,1210840196,-165.4983978,-79.90691376,0.652259231,0.03356886,-0.017635116,-0.026640892
172,1210856863,-165.5062714,-79.90305328,0.655424118,0.031186895,-0.026180407,-0.016076088
173,1210873530,-165.5210876,-79.89981842,0.66164279,0.002971025,-0.026160572,-0.014316559
174,1210890197,-165.5242157,-79.89742279,0.660459757,-0.024219383,-1.21E-04,-0.005168915
175,1210906864,-165.5296478,-79.8977356,0.668425322,-0.03368387,-0.003990209,0.018655777
176,1210923531,-165.5117645,-79.90059662,0.66181916,-0.007969787,0.011942856,-0.03196335
177,1210940198,-165.4855194,-79.90087128,0.653065264,-0.004844434,-0.007061724,-0.011200905
178,1210956865,-165.4645386,-79.90252686,0.641743541,0.014132137,-0.022071848,-0.003937721
179,1210973532,-165.4520721,-79.90527344,0.629630685,-4.39E-04,-0.005163764,-0.016911507
180,1210990199,-165.4412842,-79.90911865,0.617008448,-0.014464012,1.02E-04,-0.034366608
181,1211006866,-165.4169769,-79.9095993,0.592405617,0.005013514,0.009165429,-0.0347929
182,1211023533,-165.4039154,-79.91043854,0.578219712,0.015972724,0.007470027,0.013569832
183,1211040200,-165.3966522,-79.91191864,0.564203858,-0.012688028,-0.017979158,-0.002716065
184,1211056867,-165.3889465,-79.91601563,0.548579693,0.007806853,0.010521146,-0.014074326
185,1211073534,-165.3810425,-79.91747284,0.544449151,-0.005930889,0.015551026,-0.034348488
186,1211090201,-165.3755035,-79.91799927,0.545944929,-0.013880573,-0.008181077,-0.02098751
187,1211106868,-165.363678,-79.91950226,0.537854552,0.008466196,-0.013235599,-0.01129055
188,1211123535,-165.3541107,-79.92206573,0.526892424,0.015644636,-0.011526004,-0.011575699
189,1211140202,-165.3549194,-79.92243195,0.517791271,0.031841703,0.009170233,-0.030607224
190,1211156869,-165.3786316,-79.92282104,0.528268814,0.009682749,0.030042544,-0.04609871
191,1211173536,-165.4055786,-79.92186737,0.541695237,0.01126682,0.028503545,-0.039933205
192,1211190203,-165.4273682,-79.92177582,0.546979249,-0.015278808,-0.011549138,-0.033751488
193,1211206870,-165.4401703,-79.92208099,0.542792737,4.38E-04,-0.045374583,-0.022511482
194,1211223537,-165.4398956,-79.92150116,0.526264131,0.048889283,0.001921485,0.017648697
195,1211240204,-165.4613342,-79.92073059,0.532712162,0.028059376,0.005386886,-0.042103767
196,1211256871,-165.4918518,-79.9198761,0.554942727,0.012188064,0.001014861,-0.06462002
197,1211273538,-165.4978333,-79.91824341,0.563261449,-0.00490013,0.012576571,0.014610291
198,1211290205,-165.5020447,-79.91754913,0.576085508,-0.04125869,-0.012446933,0.019434929
199,1211306872,-165.5035248,-79.91700745,0.590147555,-0.01226753,-0.012535444,0.001653671
200,1211323539,-165.5060883,-79.91897583,0.605548799,-0.003245324,-0.002613481,-0.04140091
201,1211340206,-165.4928436,-79.92005157,0.606885791,0.012025479,-0.0027553,-0.01692295
202,1211356873,-165.486557,-79.92178345,0.618998706,0.004013678,0.006852851,-0.003410339
203,1211373540,-165.4897156,-79.92384338,0.640919745,-4.19E-04,-0.005121129,-0.012058258
204,1211390207,-165.4858246,-79.92612457,0.656912684,-0.012859588,-0.002787654,-0.008347511
205,1211406874,-165.4784546,-79.92760468,0.669595361,0.010152629,-0.00829451,-0.019843102
206,1211423541,-165.4799957,-79.92687988,0.68323952,0.035156205,-0.020370133,-0.003540039
207,1211440208,-165.480835,-79.92384338,0.690850496,0.03844034,-0.00376787,-0.021363258
208,1211456875,-165.4851837,-79.9197998,0.706213653,0.051884916,0.03880157,-0.03952217
209,1211473542,-165.5037384,-79.91492462,0.741013765,0.030344399,0.021421313,-0.024474144
210,1211490209,-165.5314484,-79.90784454,0.780663967,0.03295278,-0.005592462,-0.021979332
211,1211506876,-165.5587311,-79.90032196,0.805698991,0.039525732,-0.035749722,-0.021212578
212,1211523543,-165.5908051,-79.89339447,0.81906122,-0.006822775,-0.047557186,0.006272316
213,1211540210,-165.6352386,-79.88646698,0.838016212,-0.008910197,0.027199961,-0.011949539
214,1211556877,-165.6902008,-79.88032532,0.873335719,-0.019504774,0.035209883,-0.037675858
215,1211573544,-165.736908,-79.87639618,0.90660274,-0.046145044,0.006366264,-0.037875175
216,1211590211,-165.773468,-79.87403107,0.932915568,-0.03572893,-0.028150339,-0.009123802
217,1211606878,-165.8039093,-79.87428284,0.94621259,-0.027076576,-0.078424215,0.035229683
218,1211623545,-165.8303375,-79.87535095,0.94954294,7.41E-04,-0.03879492,0.010207176
219,1211640212,-165.8490448,-79.87962341,0.942978799,-0.015355745,-0.013186705,-0.0413723
220,1211656879,-165.8683319,-79.8832016,0.950409114,-0.009329291,0.016855503,-0.043504715
221,1211673546,-165.8692017,-79.88594055,0.950362265,0.006547072,0.007392691,0.002118111
222,1211690213,-165.8555298,-79.88963318,0.936370611,0.008187698,-0.028171126,0.038352013
223,1211706880,-165.8369751,-79.89393616,0.914472401,0.057273105,-0.043862294,-0.00616169
224,1211723547,-165.8171234,-79.89545441,0.896672368,0.07806951,0.001163162,-0.05882263
225,1211740214,-165.7967072,-79.89358521,0.886028469,0.0640191,0.03629744,-0.051826477
226,1211756881,-165.8002167,-79.88887787,0.898529649,0.04077829,0.02307682,-0.018907547
227,1211773548,-165.8182068,-79.88323975,0.915061176,0.007525157,-0.016830023,-0.02410984
228,1211790215,-165.8370819,-79.87557983,0.915872335,2.96E-04,-0.032671392,-0.014915466
229,1211806882,-165.8490753,-79.86812592,0.901416123,0.006128551,-0.008375868,-0.01490593
230,1211823549,-165.8478851,-79.86191559,0.869860291,0.01490807,-0.021927403,-0.007529259
231,1211840216,-165.8648071,-79.85626984,0.86391902,0.016402261,0.026566694,-0.024995804
232,1211856883,-165.8785706,-79.84931183,0.869137704,0.012750562,0.00674808,-0.034114838
233,1211873550,-165.892868,-79.8420105,0.885410607,0.010583052,-0.001135334,0.00421238
234,1211890217,-165.8997192,-79.83631897,0.890647411,-0.032471195,-0.02744376,0.026069641
235,1211906884,-165.9145203,-79.83188629,0.897001088,-0.014340857,-0.024344472,-0.020329475
236,1211923551,-165.9235687,-79.82772827,0.892353952,-0.031760547,-0.03215396,-0.022833824
237,1211940218,-165.9347382,-79.82566071,0.885600924,-0.009579822,0.001312412,-0.020154953
238,1211956885,-165.9447479,-79.82434845,0.882182777,-0.014044548,0.03655085,-0.021219254
239,1211973552,-165.9563446,-79.8230896,0.895685196,-0.014995868,0.04634396,-0.015723228
240,1211990219,-165.9620972,-79.82320404,0.925297916,0.018763263,0.054488212,-0.026621819
241,1212006886,-165.9756317,-79.82273865,0.966462255,0.008588793,0.004048155,-0.020799637
242,1212023553,-165.9904938,-79.82273865,1.003138423,0.015408048,-0.03276778,-0.006363869
243,1212040220,-166.0057678,-79.8248291,1.036970377,-0.016703807,-0.044141404,-0.033753395
244,1212056887,-166.0013123,-79.82873535,1.050812602,-0.035883907,-0.054731395,-0.024546623
245,1212073554,-165.9842834,-79.83399963,1.060037851,-0.045082904,-0.035339355,0.007805824
246,1212090221,-165.9446716,-79.84030151,1.057579041,-0.028637059,-0.034509674,0.024402618
247,1212106888,-165.8916931,-79.84959412,1.043304205,-0.008149981,-0.007644031,-0.001782417
248,1212123555,-165.8338013,-79.8609848,1.021707058,3.95E-04,-0.0333074,-0.05095482
249,1212140222,-165.7750397,-79.86812592,0.984407961,0.03641474,-0.04184185,-0.036382675
250,1212156889,-165.7205963,-79.87530518,0.929425776,0.039770637,-0.019107563,-0.017256737
251,1212173556,-165.6746368,-79.87918091,0.868207097,0.051929854,0.021115381,-0.008669853
252,1212190223,-165.6478882,-79.87766266,0.821032822,0.08807807,0.04364392,-0.019236565
253,1212206890,-165.6515503,-79.87332916,0.800257981,0.08403835,0.060220927,-0.07392883
254,1212223557,-165.6743927,-79.86270905,0.795747221,0.07521597,0.06454937,-0.05423069
255,1212240224,-165.714859,-79.8483429,0.811740935,0.046767473,0.03468798,-0.011313438
256,1212256891,-165.7633972,-79.83274078,0.837863505,0.05403605,0.04446388,0.006010056
257,1212273558,-165.8414001,-79.81674957,0.890798569,0.033200096,0.012698889,-0.014844894
258,1212290225,-165.9199982,-79.79776001,0.941059947,-0.008451018,-0.006580724,-0.039121628
259,1212306892,-165.9900818,-79.78017426,0.991362929,3.96E-04,0.021746973,-0.018063545
260,1212323559,-166.0570831,-79.76326752,1.050095797,-0.050337885,0.018616337,-0.002504349
261,1212340226,-166.1087036,-79.74929047,1.10151577,-0.058298297,-0.02193925,-0.013766289
262,1212356893,-166.1511383,-79.73947144,1.150071025,-0.05361617,-0.011895583,-0.014044762
263,1212373560,-166.191803,-79.73136139,1.194505334,-0.0481046,-0.006915659,-2.29E-04
264,1212390227,-166.2236328,-79.72620392,1.235542059,-0.040223874,-0.004916391,-0.002112389
265,1212406894,-166.2518463,-79.72238159,1.272259951,-0.013870271,-0.015803372,-0.017119408
266,1212423561,-166.2822876,-79.71916199,1.308759689,-0.004774306,-0.01381528,-0.023083687
267,1212440228,-166.3170624,-79.71720886,1.3471663,-0.001443335,-0.024262443,-0.011171341
268,1212456895,-166.3499908,-79.71483612,1.382992148,0.007972505,-0.017831417,-0.010756493
269,1212473562,-166.3766327,-79.71273804,1.410009027,-0.00293455,-0.019838786,-0.021680832
270,1212490229,-166.4078369,-79.7108078,1.43860352,-0.016180389,0.004296534,-0.022726059
