PacketCounter_femur,SampleTimeFine_femur,Quat_W_femur,Quat_X_femur,Quat_Y_femur,Quat_Z_femur,FreeAcc_X_femur,FreeAcc_Y_femur,FreeAcc_Z_femur,PacketCounter_tibia,SampleTimeFine_tibia,Quat_W_tibia,Quat_X_tibia,Quat_Y_tibia,Quat_Z_tibia,FreeAcc_X_tibia,FreeAcc_Y_tibia,FreeAcc_Z_tibia
24,846975593,-0.233925,-0.6984514000000001,0.22070104,-0.63932484,-0.11159024,-0.05035445,0.101919174,24,846975593,0.5807827,0.11772919400000001,-0.7975435000000001,-0.11294142,0.011893124,-0.0041506914,0.109015465
25,846992260,-0.23383172,-0.6984744,0.2207305,-0.63932353,-0.13209717,-0.15362079999999997,0.07944584,25,846992260,0.5805958999999999,0.11772455,-0.7976886999999999,-0.11288134,0.017893553,0.014911499,0.11640835
26,847008927,-0.23385575,-0.6984286,0.22081517,-0.63933563,-0.19723125,-0.13839811,0.115345,26,847008927,0.5804142,0.11767421,-0.79782826,-0.11288161,0.062411077,0.026293281,0.14677429
27,847025594,-0.23399718,-0.6983404999999999,0.22094537,-0.63933516,-0.21948072,-0.106998555,0.09728813,27,847025594,0.58023334,0.11763178,-0.7979681,-0.11286785,0.10216285,0.012120325,0.14463615
28,847042261,-0.23418027,-0.69826365,0.22114766,-0.6392821,-0.2768469,-0.08956265,0.11646366,28,847042261,0.58008546,0.11752283,-0.7980832,-0.11292782400000001,0.16176616,0.019842697,0.15706825
29,847058928,-0.23429358,-0.6982735999999999,0.22134945,-0.63915986,-0.29820573,-0.12639502,0.056919098,29,847058928,0.5799658000000001,0.11738539,-0.7981792,-0.11300712,0.15612648,-0.009045737,0.14932442
30,847075595,-0.23441534,-0.6983176,0.22157206,-0.63899,-0.20652105,-0.06536178,0.06547642,30,847075595,0.5798534000000001,0.11721049,-0.79826814,-0.11313687,0.13625081,0.01988796,0.12558079
31,847092262,-0.23456855,-0.6983519,0.22179128,-0.6388203,-0.19381166,-0.17312320000000003,0.10147953,31,847092262,0.57976097,0.11704503,-0.7983435000000001,-0.11325022,0.05226046,0.039847943999999996,0.123472214
32,847108929,-0.23474392,-0.69833076,0.22197667,-0.63871455,-0.06938172,-0.09509571,0.09985256,32,847108929,0.57966965,0.11691574,-0.79841644,-0.113337025,0.0036463903000000003,0.016744195,0.12213135
33,847125596,-0.23484679,-0.6983130999999999,0.22211663,-0.63864714,-0.079870455,-0.09656251,0.07570171,33,847125596,0.5795848000000001,0.116787024,-0.7984896,-0.11338874,-0.0058757085,-0.0048691737,0.10588550599999999
34,847142263,-0.23493777,-0.6983038,0.22219191,-0.63859767,-0.07143184,-0.054926857,0.08970547,34,847142263,0.57950723,0.11665937,-0.79855853,-0.11343036599999999,0.013872555,0.009889945,0.11476421
35,847158930,-0.23499212,-0.69836116,0.22229290000000002,-0.63848,-0.12937595,-0.08956052,0.07076645,35,847158930,0.5794302,0.11653918,-0.7986281999999999,-0.113457575,0.037797827,-0.007864135,0.1316204
36,847175597,-0.23496765,-0.6984621999999999,0.22236167,-0.6383543,-0.14375839,-0.1582893,0.08158207,36,847175597,0.5793552,0.11644249999999999,-0.7986929,-0.11348383,0.05972311,0.019891256,0.13526058
37,847192264,-0.2350377,-0.69856143,0.22251622,-0.6381661999999999,-0.17847487,-0.16398989,0.10578632,37,847192264,0.5792809,0.11630917,-0.7987623,-0.11351065,0.03842724,0.04634927,0.12815857
