PacketCounter_femur,SampleTimeFine_femur,Quat_W_femur,Quat_X_femur,Quat_Y_femur,Quat_Z_femur,FreeAcc_X_femur,FreeAcc_Y_femur,FreeAcc_Z_femur,PacketCounter_tibia,SampleTimeFine_tibia,Quat_W_tibia,Quat_X_tibia,Quat_Y_tibia,Quat_Z_tibia,FreeAcc_X_tibia,FreeAcc_Y_tibia,FreeAcc_Z_tibia
24,1045526433,0.39055650000000003,-0.48199302,-0.5411666,-0.5677047,0.04837044,-0.067967944,0.039200782999999996,24,1045526433,-0.09375086,-0.687971,0.081126444,-0.7150701,-0.07004062,-0.09838074,-0.13932133
25,1045543100,0.39073452,-0.48204250000000004,-0.5409853,-0.56771314,0.013252307,-0.11165713,0.16172314,25,1045543100,-0.09379366,-0.6879835999999999,0.08128407,-0.71503454,-0.07686166,-0.10122013,0.01320076
26,1045559767,0.39091146,-0.48204237,-0.54083896,-0.5677308000000001,-0.035164848,0.02766621,0.20062828,26,1045559767,-0.09378598,-0.68799114,0.081407905,-0.7150141,-0.03897851,0.031563215,0.113059044
27,1045576434,0.3910832,-0.48196182,-0.5409376,-0.5675869,-0.11247463,0.014267948999999999,0.20952892,27,1045576434,-0.093552575,-0.6880516999999999,0.08126297,-0.71500295,-0.0029804822999999997,0.06772806,0.049547195
28,1045593101,0.391271,-0.4818691,-0.5410993000000001,-0.5673816999999999,-0.05589232,0.0032056228000000003,0.16095734,28,1045593101,-0.09326669,-0.6881401999999999,0.08091615,-0.71499443,-0.056106545,0.015557005,0.017570496
29,1045609768,0.39143544,-0.48183042,-0.5412714,-0.5671371999999999,-0.00082856254,-0.048651952000000005,0.16685295,29,1045609768,-0.09308761,-0.6882115,0.08060394,-0.7149845,-0.053643137,-0.11913062,0.052363396
30,1045626435,0.39159015,-0.48172626,-0.5413694,-0.5670254,0.055839572000000004,-0.022382475,0.21388817,30,1045626435,-0.09297717,-0.68825406,0.08046127,-0.7149739,-0.013527828,-0.16859677,0.06340504
31,1045643102,0.3916603,-0.4816013,-0.5415274999999999,-0.5669321999999999,0.04290197,0.11093965,0.13859272,31,1045643102,-0.09292566,-0.6883019,0.080436274,-0.7149374,0.06596479,-0.09551061,-0.013004303
32,1045659769,0.39165255,-0.48155543,-0.54160744,-0.5669001,0.07011914,0.004464895,0.10918903,32,1045659769,-0.09293599400000001,-0.68834686,0.08042115,-0.7148944,0.07422816,-0.082825966,-0.0514822
33,1045676436,0.3916232,-0.48159605,-0.5415475000000001,-0.5669433,0.14006752,0.0017217203,0.09938049,33,1045676436,-0.09296552,-0.68836135,0.080387264,-0.7148805,0.062345187999999996,-0.097016305,-0.054815292
34,1045693103,0.39164606,-0.4815969,-0.54150856,-0.56696373,0.10435663,0.037768662,0.1257286,34,1045693103,-0.09295552,-0.6883305999999999,0.08039692,-0.71491027,0.037799813,-0.12370899999999999,-0.026869774
35,1045709770,0.39172024,-0.4814887,-0.5415426,-0.56697184,0.09765571,-0.010898268000000001,0.16437912,35,1045709770,-0.09286925,-0.68825746,0.08049247,-0.71498114,0.01190724,-0.10614664,0.055153847
