sep=,
DeviceTag:,47,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.6.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.4,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2021-03-24 15:26:35.001 +0800,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2021,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
51, 910960206, -0.22807887, -0.68987864, 0.25988996, -0.6360071, -0.10337463, -0.05497491, 0.045632362
52, 910976873, -0.22808048, -0.68982035, 0.25985235, -0.63608515, -0.099079385, -0.020684447, 0.13570976
53, 910993540, -0.22813164, -0.68974, 0.25986797, -0.6361475, 0.048738565, 4.4456727E-4, 0.09798622
54, 911010207, -0.22817647, -0.68969136, 0.25988355, -0.63617784, 0.033540968, 0.0021235966, 0.07837868
55, 911026874, -0.22822402, -0.68965304, 0.25987402, -0.6362062, -0.0030689447, -0.05965516, 0.10307026
56, 911043541, -0.22829549, -0.6895642, 0.25988743, -0.63627124, 0.004320673, -0.04925365, 0.099910736
57, 911060208, -0.22834513, -0.6895511, 0.25994098, -0.6362457, -0.029662237, -0.09374402, 0.0980854
58, 911076875, -0.22843741, -0.689494, 0.26004183, -0.6362333, -0.061035298, -0.06500293, 0.12456417
59, 911093542, -0.22856653, -0.689368, 0.2601215, -0.636291, -0.0774126, 0.02783664, 0.11403465
60, 911110209, -0.22864103, -0.68927866, 0.26016393, -0.6363437, 0.024771884, -0.015761016, 0.059264183
61, 911126876, -0.2287334, -0.6891936, 0.26018614, -0.6363935, -0.004982886, -0.037815597, 0.10712147
62, 911143543, -0.2288018, -0.689137, 0.26018983, -0.63642865, -0.016682448, -0.037007377, 0.08844471
63, 911160210, -0.22886913, -0.68910146, 0.26021442, -0.6364329, -0.115640126, -0.031189669, 0.09992981
64, 911176877, -0.2289043, -0.6890824, 0.26021072, -0.63644254, -0.12432573, -0.059678294, 0.08578777
65, 911193544, -0.22895046, -0.689064, 0.2602025, -0.6364491, -0.10763529, -0.0085050035, 0.12949657
66, 911210211, -0.22904317, -0.68896675, 0.26016456, -0.6365366, -0.0771113, 0.0136556355, 0.11257076
67, 911226878, -0.22902824, -0.6888912, 0.26004472, -0.6366727, 0.021357613, -0.10974777, 0.076664925
68, 911243545, -0.22908959, -0.6888298, 0.25999048, -0.6367393, 0.013582715, -0.09590058, 0.108008385
69, 911260212, -0.229176, -0.68876475, 0.2599606, -0.6367906, 0.0016689154, -0.10449901, 0.10596275
70, 911276879, -0.22922647, -0.6887344, 0.25996855, -0.636802, -0.030202467, -0.053771853, 0.09399605
71, 911293546, -0.2292654, -0.688681, 0.25998875, -0.6368375, -0.10249466, -0.042225845, 0.09868431
72, 911310213, -0.22937465, -0.68863004, 0.26001674, -0.6368419, -0.16686489, -0.0095687015, 0.106788635
73, 911326880, -0.22948068, -0.6886388, 0.26008123, -0.6367678, -0.13112427, -0.07805307, 0.0666666
74, 911343547, -0.22956581, -0.6886759, 0.26012585, -0.63667876, -0.09149441, -0.05311651, 0.106147766
75, 911360214, -0.22966425, -0.68867517, 0.26015317, -0.636633, -0.022206962, -0.0085893795, 0.122665405
76, 911376881, -0.22975308, -0.6886312, 0.26016495, -0.6366436, -0.074401766, -0.07339886, 0.108903885
77, 911393548, -0.22981119, -0.68855804, 0.26017034, -0.6366995, -0.034506936, -0.0016705359, 0.096058846
78, 911410215, -0.22982623, -0.6885288, 0.2601209, -0.6367461, -0.0522081, 0.026536576, 0.10303116
79, 911426882, -0.2299032, -0.68849266, 0.2601148, -0.63675976, -0.11136382, -0.036725413, 0.108504295
80, 911443549, -0.22995287, -0.6884749, 0.26008537, -0.636773, -0.07970103, -0.0732861, 0.10256672
81, 911460216, -0.23001121, -0.68846816, 0.26007935, -0.6367618, -0.06658434, -0.10195879, 0.10266209
82, 911476883, -0.2301306, -0.6884336, 0.26012218, -0.6367384, -0.11310281, -0.060504846, 0.11210823
83, 911493550, -0.23025858, -0.6883532, 0.26016152, -0.63676316, -0.030842775, -0.06512474, 0.10186386
84, 911510217, -0.23036918, -0.6882842, 0.26019216, -0.63678515, -0.08523404, -0.007164596, 0.102843285
85, 911526884, -0.23038487, -0.68831784, 0.2601641, -0.6367545, -0.013976656, -0.04577445, 0.07093811
